,apm,epm,gpm,aht,dev,label
0,0.0,0.0,0.0,0.0,0.0,1
1,12.0,0.0,0.0,208.5,125.4826254144568,1
2,30.0,180.0,0.0,10.6,226.3991388883133,1
3,30.0,60.0,6.0,11.4,117.96149296444125,1
4,18.0,180.0,6.0,10.333333333333334,129.00645844036762,1
5,24.0,60.0,0.0,10.75,219.82472916206524,1
6,30.0,0.0,18.0,9.8,264.0872884288129,1
7,42.0,180.0,18.0,10.857142857142858,473.6345547056749,1
8,30.0,180.0,6.0,11.6,226.71569238704214,1
9,24.0,60.0,6.0,11.0,385.9296888095597,1
10,18.0,0.0,6.0,11.0,65.31187865908605,1
11,18.0,0.0,6.0,10.333333333333334,313.612016996862,1
12,30.0,120.0,6.0,11.0,176.68014981517797,1
13,30.0,120.0,6.0,10.4,240.66778031020948,1
14,36.0,180.0,0.0,11.0,291.73256515549156,1
15,18.0,120.0,0.0,9.666666666666666,238.76668314533688,1
16,36.0,0.0,18.0,10.666666666666666,259.0388025816433,1
17,24.0,180.0,12.0,11.0,297.5402364590728,1
18,18.0,180.0,6.0,10.666666666666666,129.21583028659305,1
19,24.0,120.0,6.0,12.25,360.4417244964005,1
20,30.0,180.0,0.0,10.6,239.5829738215252,1
21,24.0,60.0,6.0,11.5,281.58616079701966,1
22,36.0,120.0,12.0,11.0,155.84715599607011,1
23,36.0,120.0,6.0,10.333333333333334,147.95847690515728,1
24,24.0,60.0,0.0,11.0,156.87854615919863,1
25,30.0,0.0,18.0,10.2,284.1024649289663,1
26,24.0,60.0,12.0,10.25,289.9950286884685,1
27,42.0,120.0,12.0,10.142857142857142,339.6861648971695,1
28,12.0,60.0,12.0,10.0,163.21152889583453,1
29,36.0,60.0,12.0,10.5,283.50697137762876,1
30,42.0,240.0,0.0,10.571428571428571,150.46927927736547,1
31,12.0,180.0,12.0,11.5,138.07229014266008,1
32,18.0,180.0,0.0,10.0,366.4394742890828,1
33,36.0,0.0,12.0,10.5,389.8161308935508,1
34,42.0,120.0,6.0,10.714285714285714,238.69063639791423,1
35,24.0,120.0,6.0,10.25,302.184520909742,1
36,18.0,0.0,6.0,10.333333333333334,31.163416666807326,1
37,12.0,0.0,12.0,10.5,181.74570403897783,1
38,18.0,0.0,6.0,10.666666666666666,185.6639347125787,1
39,12.0,0.0,6.0,9.0,181.19197468238283,1
40,24.0,60.0,12.0,16.0,387.7212875268841,1
41,18.0,120.0,6.0,10.666666666666666,425.3392750224667,1
42,30.0,120.0,18.0,11.0,196.63235918675008,1
43,12.0,0.0,6.0,9.5,76.51450309729282,1
44,12.0,0.0,6.0,9.0,65.72271894508567,1
45,24.0,0.0,0.0,12.75,118.48254788411333,1
46,18.0,0.0,0.0,48.666666666666664,46.991380938362326,1
47,42.0,360.0,24.0,118.57142857142857,467.93052130588205,0
48,36.0,360.0,24.0,131.5,626.1943576435763,0
49,66.0,300.0,36.0,135.45454545454547,391.12093061101774,0
50,42.0,180.0,12.0,130.14285714285714,380.7783848698249,0
51,54.0,360.0,30.0,133.0,370.4965861323622,0
52,48.0,600.0,6.0,128.0,544.4129130387115,0
53,36.0,300.0,18.0,139.66666666666666,440.38923755760686,0
54,54.0,300.0,24.0,121.66666666666667,481.5322743513701,0
55,42.0,360.0,12.0,126.42857142857143,489.89424835097043,0
56,18.0,300.0,18.0,82.33333333333333,317.3488074302234,0
57,24.0,60.0,18.0,112.0,405.11905368451716,0
58,30.0,120.0,24.0,124.6,469.4573889281842,0
59,66.0,300.0,30.0,118.63636363636364,388.6207043446838,0
60,60.0,300.0,48.0,134.0909090909091,484.17811920175797,0
61,48.0,180.0,24.0,127.71428571428571,456.38010355848473,0
62,48.0,60.0,42.0,119.0,400.0681283369661,0
63,54.0,300.0,18.0,144.66666666666666,347.3313703661938,0
64,48.0,180.0,24.0,132.125,575.018752538562,0
65,30.0,300.0,24.0,142.8,553.6066928914115,0
66,36.0,420.0,18.0,136.33333333333334,569.5857790685835,0
67,24.0,300.0,30.0,115.25,319.9753283671111,0
68,42.0,300.0,30.0,137.85714285714286,391.36130458827404,0
69,24.0,240.0,6.0,147.75,426.2324718507133,0
70,36.0,240.0,48.0,138.0,470.3663272732596,0
71,36.0,360.0,30.0,133.83333333333334,324.73210626869405,0
72,42.0,360.0,18.0,120.42857142857143,558.8793817359352,0
73,42.0,120.0,30.0,120.28571428571429,463.6020060490196,0
74,48.0,240.0,42.0,135.75,419.03221985558497,0
75,54.0,300.0,18.0,143.0,345.33875740591935,0
76,54.0,60.0,36.0,141.55555555555554,281.76135741533705,0
77,72.0,300.0,24.0,144.5,429.20310304921804,0
78,12.0,120.0,0.0,120.5,59.704860807276425,0
